momentum_period,rebalance_days,top_pct,num_stocks,num_periods_tested,avg_return,std_return,min_return,max_return,avg_7wk_return,avg_sharpe,std_sharpe,min_sharpe,max_sharpe,avg_drawdown,max_drawdown,consistency_score
6,2,0.3,15,21,49.664635901665754,28.769872003454434,8.07352194353812,112.71258135040507,8.644541815258208,3.011847165998304,1.2446154216079328,0.7559874120014805,4.992739539776833,4.24048777352986,11.824351400114107,1.7672317443903711
6,2,0.2,10,21,60.914832529898185,36.940778051546566,6.611708403988681,137.3946210536453,10.198568362099783,3.056013085886783,1.3035896141765673,0.5851784583419248,4.873982234015556,4.346922871298136,13.48021671755896,1.7524234717102158
5,3,0.2,10,21,56.90176729549536,30.177745801304525,6.900633124571476,128.3463473987823,9.739115800766717,3.024505674532619,1.273553693496733,0.5977458313957726,4.9935079470435735,4.337771354689067,11.05291208392687,1.750951981035886
5,2,0.3,15,21,53.8154511877559,33.41080940719386,8.967946093266166,119.48730998740369,9.184623114994594,3.23281247353945,1.494466671458209,0.6559728898344465,5.888638300597625,4.046321481383676,12.174805729872809,1.7383458020812408
13,5,0.2,10,21,50.70186636794655,31.4260342503024,11.767926220563085,126.5142610043557,8.793114245823451,2.741948127992498,1.0098795387753936,1.032350464592168,4.436490454793608,3.438854482750185,11.983443313598633,1.7320685892171046
13,3,0.2,10,21,53.965493338738234,39.247350546820414,11.414742633896878,143.0597197692605,9.110614818028042,2.7460420509789882,1.0155297739378393,1.050156070464167,4.361364743219495,3.613122923644162,11.404561477661133,1.730512277041149
15,5,0.2,10,21,49.896206668355504,28.82133019908753,11.48596814035654,114.70316808416476,8.71597313490368,2.754096836189678,1.165365360128361,0.9213864018149748,4.485998106088447,3.529745436573075,12.578303436279297,1.5887314760613171
12,3,0.2,10,21,66.08261834325512,55.82132278930289,9.626519048912229,205.4917846405621,10.502583730606807,2.860086585940109,1.2945720653810746,0.9330824977843808,5.804779593336912,3.920570394309096,11.14722666520844,1.5655145205590342
12,4,0.2,10,21,63.13657556505714,49.18270994052373,1.5505783204382784,174.97943001411141,10.224491251809255,2.7856770391998764,1.2423361520407974,0.18983392665585427,5.509959688172498,4.212897099413235,15.64239452421708,1.543340887159079
10,4,0.3,15,21,50.347102845434016,41.35485077881719,12.735391950420127,157.41376589309874,8.48185948326474,2.780299322779116,1.2405668465234034,1.1315642572754883,5.463017301781141,3.4794099530909146,14.114855108350291,1.5397324762557127
12,5,0.2,10,21,52.87196700426317,34.430318750143925,2.72762568014151,122.5628900078223,9.03106253069923,2.6836399034007394,1.1629083460139895,0.2912795615218832,4.3412176518619345,3.5760730006304327,11.983443313598633,1.52073155738675
5,4,0.2,10,21,49.99938308388635,33.01788111283352,-8.535729025920958,136.77545276675062,8.598011355808802,2.715532747666763,1.1953659953406635,-0.15342246531489548,4.962934697913483,4.5709021416837325,16.496594557783258,1.5201667523260993
14,5,0.2,10,21,48.00079340374252,29.563939781696746,6.778627659077974,110.96252846327718,8.395369824545725,2.6467880473302072,1.1331100437165262,0.6359909971388338,4.33755423279731,3.4118549444265605,11.653652511596679,1.513678003613681
15,4,0.1,5,21,51.0101151701305,24.20124328104679,14.624083371038665,105.11918284180398,8.973043689546133,2.3209615056589983,0.8126901858266127,0.8091302948547625,3.6903013499561044,4.972526550032433,8.554707575890898,1.5082713198323856
10,3,0.3,15,21,51.813104859437715,41.759266360866874,8.173693806065074,163.14481305255626,8.708650100163052,2.7803740622127804,1.2739474479529163,0.7739799909484723,5.992346078733071,3.283808204874992,8.764948939291624,1.5064266142598641
8,2,0.3,15,21,46.301280181011805,30.518325356133246,9.153280376994278,114.03657533769427,8.079408785502114,2.740755814916866,1.2372284581169273,0.6559632058553573,5.080519937268917,4.002396255680216,13.653266934873773,1.5035273567999388
7,3,0.3,15,21,45.726133235190936,31.66703027014875,6.795286066345985,111.25210729713669,7.958928563617524,2.8151452633027025,1.320094372304211,0.3885766766250976,4.981484854810024,4.020636139171715,11.50063370513916,1.4950508909984916
9,3,0.3,15,21,49.192440860775854,36.7604797423794,8.153962497297274,139.55476134581812,8.40839147658575,2.730159976387283,1.2501086276665911,0.7473124278510168,4.7425807797863255,3.974793079487622,11.600067947387695,1.4800513487206919
8,3,0.3,15,21,46.72135457582862,31.494711495266035,4.33758219900211,104.49820205248162,8.122894362495058,2.7123957724458085,1.2503917387810848,0.4507872048401317,4.3873845972866645,3.987210169240638,11.882923625946045,1.4620040336647238
